"Description","ProductCode","QuantityUnitOfMeasure","CreatedDate","Family","Id","Name"
"GoBrew Caffeinator lets you enjoy your coffee and leaves your smartphone take care of the rest.","P6-020","Each","2020-10-23T17:32:40.000Z","Appliances","01tB0000000qbH6IAI","GoBrew Caffeinator"
"Crunchy high-fiber cereal made with an inviting blend of wheat bran, and psyllium; A delicious part of any balanced breakfast.","Alpine - Bran Cereal","Each","2020-10-23T17:32:40.000Z","Cereal","01tB0000000qbH8IAI","Alpine - Bran Cereal"
"Alpine Green Tea Vegan GoBar is a grab and go Vegan Protein performance bar. Engineered for athletes, GoBar helps you achieve your daily protein intake while keeping you full.","P2-011-024","Each","2020-10-23T17:32:40.000Z","Sports Nutrition","01tB0000000qbHQIAY","GoBar Green Tea - Vegan, 2oz - 24 Pack (Case)"
"This Yeti is a bit wild, yet something to worship. Yetibar is vegan, gluten free, high protein, low Carb, mint chocolate chunk protein bar.","P1-016-001-006","Each","2020-10-23T17:32:40.000Z","Sports Nutrition","01tB0000000qbH4IAI","YetiBar Mint Chocolate Chip, 2oz bar - 6 Pack"
"GoBalm Lip Balm - Green Tea scent, 1 oz stick - 12 Pack","P1-003-012","Each","2020-10-23T17:32:40.000Z","Accessories","01tB0000000qbH0IAI","GoBalm Lip Balm - Green Tea scent"
"Alpine's Bigfootbar is no hoax. The energy bar that tastes light with a fruity tart cherry flavor, but is packed with powerful nutrition.  Paleo philosophy - a healthier choice. Contains pistacio nuts, natural fruit, and whole unprocessed foods.","P1-017-012","Each","2020-10-23T17:32:40.000Z","Sports Nutrition","01tB0000000qbHCIAY","BigfootBar Tart Cherry/Pistachio - Paleo, 2oz bar - 12 Pack"
"This Yeti is a bit wild, yet something to worship. Yetibar made from grass-fed bison, but with a tart cherry flavor. Paleo philosophy - a healthier choice with a protein boost to aid in your recorvery regimen. Contains nuts, whole unprocessed foods.","P1-010-024","Each","2020-10-23T17:32:40.000Z","Sports Nutrition","01tB0000000qbHDIAY","YetiBar Tart Cherry/Bison - Paleo, 2oz bar - 24 Pack (Case)"
"This Yeti is a bit wild, yet something to worship. Yetibar is vegan, gluten free, high protein, low Carb, mint chocolate chunk protein bar.","P1-016-001-012","Each","2020-10-23T17:32:40.000Z","Sports Nutrition","01tB0000000qbHLIAY","YetiBar Mint Chocolate Chip, 2oz bar - 12 Pack"
"GoBrew Connected Coffee Machine enables connectivity allowing you to program a coffee and receive alerts for machine maintenance all from your smartphone.","P0-010","Each","2020-10-23T17:32:40.000Z","Appliances","01tB0000000qbHHIAY","GoBrew Connected Coffee Machine"
"This Yeti is a bit wild, yet something to worship. Yetibar made from grass-fed bison, but with a tart cherry flavor. Paleo philosophy - a healthier choice with a protein boost to aid in your recorvery regimen. Contains nuts, whole unprocessed foods.","P1-010-012","Each","2020-10-23T17:32:40.000Z","Sports Nutrition","01tB0000000qbHFIAY","YetiBar Tart Cherry/Bison - Paleo, 2oz bar - 12 Pack"
