"ForecastStatus","ProductFamily","OwnerName","AccountId","ProductName","ExternalId","LastProcessedDate","Time","ParentName","AccountType","SalesAgreementName","Industry","DerivedStatus","AccountName","Plan","UnitPrice","Price","Forecast","Attainment","Actual"
"Active","Attachments","Bill West","0013h00000CPh6hAAD","Utility Broom UB1000","Account.019","2020-06-19","2020-03-15","Permadyne GmbH, LTD","Person","Haven Enterprises SA_Yearly6_2020-03-15","Consumer","Pending Approval","Haven Enterprises",10000,4500,4046,11710,94,11007
"Expired","Attachments","Kasey Central","0013h00000CPh6yAAD","Ripper 34","Account.044","2020-06-19","2019-01-15","Ohana Technologies","Small Business","Wellspring, Inc. SA_Monthly18_2019-01-15","Financial Services","Upcoming Renewal","Wellspring, Inc.",5000,1350,1263,5505,105,5780
"Active","Attachments","Paul Partner","0013h00000CPh6xAAD","Backhoe Attachment R2","Account.045","2020-06-19","2019-12-07","Ohana Technologies","Mid-Market","Momentum Design SA_Quarterly18_2019-12-07","Financial Services","Approved","Momentum Design",22500,20500,17894,25578,99,25322
"Expired","Attachments","Ely East","0013h00000CPh5tAAD","Compactor 9500","Account.054","2020-06-19","2019-08-26","Permadyne GmbH, LTD","Small Business","Tech Labs SA_Monthly6_2019-08-26","Manufacturing","Upcoming Renewal","Tech Labs",40000,13000,12376,45792,92,42129
"Active","Attachments","Kasey Central","0013h00000CPh77AAD","Trencher T60","Account.046","2020-06-19","2020-04-23","Advanced Communications","Enterprise","Silodyne Company SA_Quarterly12_2020-04-23","Healthcare & Life Sciences","Approved","Silodyne Company",40000,9000,8480,47445,89,42226
"Expired","Attachments","Ricky East","0013h00000CPh5mAAD","Pickup Broom PB200","Account.011","2020-06-19","2019-06-01","Advanced Communications","Mid-Market","Meridian Partners SA_Yearly18_2019-06-01","Technology","Pending Approval","Meridian Partners",27500,7500,6316,33743,91,30706
"Active","Attachments","Cindy Central","0013h00000CPh76AAD","Ripper 19","Account.059","2020-06-19","2019-03-12","Advanced Communications","Mid-Market","Integrity Systems SA_Monthly18_2019-03-12","Technology","Upcoming Renewal","Integrity Systems",25000,800,774,28057,102,28618
"Active","Attachments","Vance Channel","0013h00000CPh5kAAD","Ripper 37","Account.010","2020-06-19","2020-06-12","Ohana Technologies","Partner","Acme Partners SA_Quarterly6_2020-06-12","Technology","Upcoming Renewal","Acme Partners",7500,2000,1693,8847,91,8051
"Expired","Attachments","Vance Channel","0013h00000CPh5kAAD","Trencher T36","Account.010","2020-06-19","2020-04-21","Ohana Technologies","Partner","Acme Partners SA_Yearly12_2020-04-21","Technology","Approved","Acme Partners",32500,6000,5646,34805,110,38285
"Active","Attachments","Vance Channel","0013h00000CPh5uAAD","Pickup Broom PB100","Account.052","2020-06-19","2020-09-10","Ohana Technologies","Enterprise","Red Studio Designs SA_Monthly6_2020-09-10","Communications","Upcoming Renewal","Red Studio Designs",40000,6900,6772,36861,108,39810
