"DestinationCity","SourceCity","StartDateYear","MilesTraveled","TravelFrequency","Scope3EmissionsInTco2e"
"Amsterdam","London","2017",9765,123,2345
"Madrid","Berlin","2023",7893,235,123
"Boston","New York","2024",12547,530,3215
"Chicago","San Francisco","2020",48203,120,4880
"Hong Kong","Los Angeles","2016",99865,14,15360
"Bangalore","Hyderabad","2022",2353,12,235
"San Francisco","Seattle","2025",8923,123,650
"Chicago","San Francisco","2018",48203,120,4880
"Washington DC","New York","2021",14231,523,300
"Chicago","Seattle","2019",4882,4,364
"Amsterdam","London","2024",9765,123,2345
"Madrid","Berlin","2016",7893,235,123
"Bangalore","Hyderabad","2020",2353,12,235
"San Francisco","Los Angeles","2018",12412,23,500
"Amsterdam","London","2021",9765,123,2345
"Bangalore","Hyderabad","2023",2353,12,235
"San Francisco","Los Angeles","2019",12412,23,500
"Madrid","Berlin","2022",7893,235,123
"Chicago","Seattle","2017",4882,4,364
"Washington DC","New York","2025",14231,523,300
"Chicago","San Francisco","2019",48203,120,4880
"Boston","New York","2021",12547,530,3215
"San Francisco","Seattle","2023",8923,123,650
"Amsterdam","London","2020",9765,123,2345
"Hong Kong","Los Angeles","2022",99865,14,15360
"Bangalore","Hyderabad","2017",2353,12,235
"Chicago","San Francisco","2025",48203,120,4880
"Madrid","Berlin","2024",7893,235,123
"Washington DC","New York","2016",14231,523,300
"San Francisco","Los Angeles","2018",12412,23,500
"Amsterdam","London","2022",9765,123,2345
"Madrid","Berlin","2020",7893,235,123
"Chicago","San Francisco","2018",48203,120,4880
"Bangalore","Hyderabad","2016",2353,12,235
"San Francisco","Seattle","2023",8923,123,650
"Boston","New York","2021",12547,530,3215
"Bangalore","Hyderabad","2019",2353,12,235
"Amsterdam","London","2024",9765,123,2345
"Madrid","Berlin","2025",7893,235,123
"Hong Kong","Los Angeles","2017",99865,14,15360
"Chicago","Seattle","2021",4882,4,364
"Chicago","San Francisco","2019",48203,120,4880
"Amsterdam","London","2018",9765,123,2345
