"LastProcessedDate","Date","Emissions_Scope_Category","Emission_Activity_Category","Target_Renewable_Energy_Percentage","Total_Floor_Area_sqft","Target_Compensated_Emissions_tCO2e","Forecasted_Renewable_Energy_Cons","Forecasted_Emissions_Intensity_Reduc","Forecasted_Emissions_tCO2e","Actual_Renewable_Energy_Cons","Net_Emissions_Forecast_tCO2e","Headcount","Planned_Supplier_Emissions_Reduction","Required_Carbon_Credits_tCO2e","Actual_Emissions_Intensity","Planned_Carbon_Credits_tCO2e","Revenue","Planned_Operational_Emissions_Reduction","Final_Forecasted_Emissions_tCO2e","Actual_Emissions_tCO2e","Target_Emissions_tCo2e"
"2023-02-24","2021-10-03","Scope 2","Fleet Vehicles",15,150000,50000,0,,,30,200000,300,,,0,,100,50000,50000,,
"2023-02-24","2025-01-13","Scope 3","Fleet Vehicles",30,250000,150000,250000,40,150000,,,100,50000,,,150000,200,100000,150000,,0
"2023-02-24","2040-11-08","Scope 1","Commercial Building",20,100000,,150000,10,,,100000,200,250000,150000,30,200000,200,200000,250000,,100000
"2023-02-24","2024-03-20","Scope 2","Data Center",,200000,0,200000,20,100000,,150000,350,,200000,25,250000,150,,200000,,150000
"2023-02-24","2028-03-27","Scope 1","Private Jet",0,50000,100000,50000,50,250000,,250000,150,200000,50000,10,0,150,250000,100000,,
"2023-02-24","2036-03-29","Scope 3","Scope 3 Franchising",10,100000,200000,,30,0,,50000,50,0,0,15,50000,250,0,,,200000
"2023-02-24","2031-11-26","Scope 3","Scope 3 Investments",20,200000,250000,100000,,50000,,0,250,150000,100000,20,,200,150000,0,,50000
"2023-02-24","2035-06-19","Scope 1","Private Jet",0,150000,,200000,0,200000,,100000,300,100000,250000,20,100000,200,0,150000,,250000
"2023-02-24","2029-07-31","Scope 2","Fleet Vehicles",,250000,250000,150000,10,250000,,200000,150,,250000,,100000,200,50000,100000,,150000
"2023-02-24","2038-10-31","Scope 1","Data Center",15,50000,200000,,30,0,,150000,100,0,150000,0,0,250,200000,250000,,0
"2023-02-24","2033-12-03","Scope 2","Commercial Building",10,200000,150000,100000,20,100000,,,50,250000,50000,25,,200,,0,,200000
"2023-02-24","2039-02-02","Scope 3","Commercial Building",30,50000,100000,250000,50,,,250000,200,50000,100000,10,50000,250,100000,0,,250000
"2023-02-24","2026-03-24","Scope 1","Data Center",15,200000,50000,0,40,200000,,0,250,200000,200000,15,200000,200,250000,200000,,50000
"2023-02-24","2023-01-03","Scope 3","Scope 3 Purchased Goods Services",30,150000,0,50000,,150000,20,50000,350,100000,0,30,150000,150,150000,,50000,100000
"2023-02-24","2041-10-08","Scope 2","Private Jet",0,250000,0,100000,0,50000,,50000,150,150000,,25,250000,250,50000,50000,,
"2023-02-24","2022-04-24","Scope 2","Commercial Building",20,100000,200000,250000,,,,250000,200,,,,,250,100000,,100000,
"2023-02-24","2037-08-11","Scope 3","Scope 3 Use of Sold Products",,150000,150000,50000,0,50000,,0,300,,150000,15,50000,200,0,100000,,250000
"2023-02-24","2034-04-15","Scope 1","Fleet Vehicles",10,200000,,150000,50,250000,,200000,50,50000,,30,0,150,150000,150000,,0
"2023-02-24","2030-06-15","Scope 1","Data Center",10,50000,250000,200000,,0,,100000,350,100000,0,20,100000,150,250000,200000,,100000
"2023-02-24","2027-12-26","Scope 2","Private Jet",30,100000,100000,100000,20,150000,,,100,150000,200000,0,150000,150,,50000,,150000
"2023-02-24","2020-03-16","Scope 3","Data Center",20,250000,50000,0,,,50,150000,250,,,10,,350,200000,,200000,
"2023-02-24","2032-11-06","Scope 3","Scope 3 Upstream Transportation Distribution",0,100000,250000,,40,,,50000,250,0,50000,20,200000,150,150000,250000,,50000
"2023-02-24","2021-11-06","Scope 2","Fleet Vehicles",,150000,200000,150000,,,90,250000,150,,,,,200,100000,0,0,
"2023-02-24","2038-08-06","Scope 1","Commercial Building",15,200000,50000,,30,100000,,150000,200,250000,100000,25,,200,0,150000,,
"2023-02-24","2024-06-15","Scope 1","Commercial Building",15,50000,150000,0,10,200000,,200000,50,200000,250000,15,250000,150,250000,150000,,200000
"2023-02-24","2029-09-24","Scope 3","Scope 3 Fuel and Energy-Related Activity",0,250000,100000,50000,50,150000,,0,350,150000,250000,0,200000,150,50000,100000,,0
"2023-02-24","2020-07-14","Scope 2","Private Jet",20,100000,,200000,,,0,100000,100,,,30,,300,,0,250000,
"2023-02-24","2027-10-23","Scope 3","Scope 3 Business Travel",10,50000,0,250000,0,200000,,,300,100000,200000,10,150000,150,200000,,,200000
"2023-02-24","2039-08-06","Scope 2","Data Center",30,250000,150000,100000,,100000,,100000,100,50000,150000,15,,200,200000,250000,,100000
"2023-02-24","2035-01-25","Scope 1","Fleet Vehicles",,200000,200000,200000,30,,,0,300,0,0,10,50000,150,,150000,,50000
"2023-02-24","2034-10-11","Scope 3","Scope 3 Processing Sold Products",20,150000,100000,250000,10,50000,,200000,350,250000,50000,30,0,200,150000,200000,,250000
"2023-02-24","2028-08-16","Scope 2","Data Center",10,250000,,150000,40,0,,250000,250,200000,,25,100000,150,100000,50000,,150000
"2023-02-24","2022-05-25","Scope 1","Commercial Building",0,150000,50000,,,,70,50000,200,,,20,,200,250000,,150000,
"2023-02-24","2030-12-25","Scope 3","Scope 3 Uncategorized Emissions",30,200000,250000,100000,20,250000,,,150,,100000,0,250000,150,0,50000,,
"2023-02-24","2040-08-12","Scope 2","Private Jet",15,100000,0,0,0,0,,150000,50,0,50000,,,250,50000,250000,,50000
"2023-02-24","2031-03-26","Scope 1","Fleet Vehicles",,50000,100000,50000,40,200000,,0,100,50000,250000,,200000,150,,200000,,0
"2023-02-24","2023-09-02","Scope 3","Private Jet",30,100000,150000,,30,100000,50,250000,250,100000,0,25,250000,250,150000,100000,200000,250000
"2023-02-24","2041-05-03","Scope 2","Private Jet",20,150000,0,50000,,,,100000,200,,150000,0,50000,200,200000,200000,,150000
"2023-02-24","2032-11-04","Scope 1","Fleet Vehicles",,200000,200000,100000,10,50000,,,50,200000,100000,15,100000,200,50000,150000,,200000
"2023-02-24","2037-05-06","Scope 1","Data Center",0,50000,50000,250000,50,150000,,50000,350,150000,,20,0,250,250000,150000,,100000
"2023-02-24","2033-01-27","Scope 2","Commercial Building",10,150000,250000,150000,20,250000,,150000,150,250000,200000,10,150000,150,100000,0,,
"2023-02-24","2026-01-28","Scope 3","Scope 3 Capital Goods",15,250000,,150000,50,100000,,200000,300,100000,250000,30,50000,150,0,0,,150000
"2023-02-24","2036-05-14","Scope 1","Data Center",15,150000,0,200000,,0,,100000,50,250000,150000,,,200,200000,200000,,0
"2023-02-24","2025-10-16","Scope 3","Scope 3 Upstream Leased Assets",20,100000,100000,0,40,150000,,200000,200,50000,0,20,150000,150,150000,0,,50000
"2023-02-24","2027-01-20","Scope 2","Fleet Vehicles",30,50000,50000,100000,20,200000,,,100,200000,100000,10,200000,150,,150000,,250000
"2023-02-24","2036-01-16","Scope 3","Scope 3 Downstream Leased Assets",10,250000,,0,30,50000,,0,300,0,200000,25,100000,200,50000,,,
"2023-02-24","2039-11-28","Scope 1","Private Jet",,200000,250000,250000,10,250000,,250000,350,150000,50000,15,0,200,100000,50000,,100000
"2023-02-24","2020-03-31","Scope 2","Commercial Building",0,50000,150000,200000,,,20,50000,150,,,0,,150,250000,,0,
"2023-02-24","2028-06-02","Scope 2","Commercial Building",0,200000,200000,100000,0,,,150000,250,,,30,250000,150,0,50000,,200000
"2023-02-24","2040-11-15","Scope 3","Scope 3 Downstream Transportation Distribution",30,100000,0,,0,150000,,50000,250,,0,25,,250,50000,100000,,100000
"2023-02-24","2034-02-24","Scope 1","Private Jet",15,150000,200000,150000,40,,,250000,150,250000,200000,0,250000,200,250000,250000,,250000
"2023-02-24","2041-07-05","Scope 2","Fleet Vehicles",,200000,250000,50000,,100000,,,50,150000,150000,15,0,250,,100000,,200000
"2023-02-24","2033-05-27","Scope 3","Scope 3 End-Life Treatment of Sold Product",20,250000,150000,250000,10,200000,,0,200,50000,,10,50000,200,0,50000,,
"2023-02-24","2035-02-19","Scope 1","Data Center",10,200000,50000,150000,50,250000,,150000,100,100000,100000,20,150000,200,150000,250000,,150000
"2023-02-24","2022-09-27","Scope 2","Commercial Building",,50000,,0,,,90,100000,300,,,,,100,200000,,250000,
"2023-02-24","2025-05-11","Scope 1","Private Jet",30,100000,100000,,20,0,,200000,350,200000,250000,30,200000,150,100000,0,,0
"2023-02-24","2024-02-25","Scope 3","Scope 3 Employee Commuting",0,150000,50000,100000,30,50000,,50000,150,0,50000,20,100000,150,150000,,,50000
"2023-02-24","2031-01-01","Scope 3","Scope 3 Waste Generated in Operations",10,250000,250000,50000,,50000,,100000,350,150000,0,,50000,200,,200000,,0
"2023-02-24","2030-07-18","Scope 2","Data Center",15,200000,0,200000,20,150000,,250000,50,200000,,0,150000,150,50000,150000,,150000
"2023-02-24","2037-02-26","Scope 1","Fleet Vehicles",20,250000,200000,150000,10,0,,200000,100,250000,200000,25,,200,100000,100000,,200000
"2023-02-24","2029-07-25","Scope 1","Private Jet",30,100000,,200000,40,200000,,,200,0,50000,30,250000,150,0,100000,,250000
"2023-02-24","2026-05-24","Scope 3","Scope 3 Upstream Leased Assets",20,150000,150000,0,30,,,150000,250,100000,150000,10,200000,150,250000,0,,
"2023-02-24","2032-03-23","Scope 2","Fleet Vehicles",0,50000,100000,100000,0,100000,,0,300,,100000,15,100000,150,200000,,,100000
"2023-02-24","2023-07-06","Scope 2","Commercial Building",15,150000,50000,150000,50,250000,30,50000,300,50000,250000,20,0,350,50000,200000,100000,50000
"2023-02-24","2038-11-03","Scope 3","Scope 3 Uncategorized Emissions",,50000,250000,50000,20,100000,,250000,150,,0,15,0,200,250000,50000,,200000
"2023-02-24","2021-01-31","Scope 1","Data Center",10,150000,0,,,,,,200,,,10,,300,100000,150000,50000,
"2023-02-24","2023-11-21","Scope 1","Commercial Building",10,100000,100000,250000,0,150000,70,200000,250,200000,250000,0,100000,100,,250000,150000,50000
"2023-02-24","2022-05-01","Scope 2","Private Jet",30,250000,150000,150000,,,0,0,100,,,,,300,150000,150000,,
"2023-02-24","2035-12-19","Scope 3","Scope 3 Business Travel",20,200000,200000,50000,30,250000,,150000,50,150000,100000,30,250000,200,200000,,,250000
"2023-02-24","2027-01-19","Scope 3","Scope 3 Investments",0,250000,,100000,50,0,,100000,350,50000,50000,25,50000,150,0,200000,,
"2023-02-24","2033-09-17","Scope 2","Data Center",15,150000,,250000,40,,,250000,300,250000,200000,30,200000,200,0,50000,,150000
"2023-02-24","2032-07-18","Scope 1","Fleet Vehicles",,100000,250000,200000,10,50000,,50000,50,0,,10,150000,150,100000,150000,,100000
"2023-02-24","2041-06-27","Scope 3","Private Jet",15,200000,50000,,,200000,,100000,250,100000,150000,20,,250,50000,100000,,0
"2023-02-24","2037-11-04","Scope 2","Data Center",20,50000,200000,0,0,,,200000,350,50000,50000,0,0,200,,250000,,150000
"2023-02-24","2028-11-28","Scope 1","Fleet Vehicles",0,200000,0,100000,,200000,,150000,200,150000,0,15,100000,200,150000,150000,,0
"2023-02-24","2039-04-14","Scope 2","Private Jet",30,150000,150000,250000,10,250000,,,100,100000,,,,250,200000,0,,50000
"2023-02-24","2040-06-21","Scope 3","Scope 3 Downstream Transportation Distribution",10,250000,100000,200000,50,0,,0,150,0,200000,25,50000,200,250000,0,,
"2023-02-24","2036-03-03","Scope 1","Commercial Building",,50000,,0,40,100000,,0,250,,100000,25,150000,200,50000,200000,,250000
"2023-02-24","2024-07-24","Scope 3","Scope 3 Franchising",,100000,250000,150000,30,150000,,200000,100,250000,250000,10,200000,150,250000,50000,,200000
"2023-02-24","2025-06-18","Scope 2","Private Jet",30,250000,150000,50000,20,50000,,250000,350,200000,150000,0,250000,150,0,,,100000
"2023-02-24","2030-07-26","Scope 1","Data Center",15,100000,200000,,50,,,,300,200000,50000,20,50000,150,200000,250000,,0
"2023-02-24","2020-12-15","Scope 2","Fleet Vehicles",10,50000,100000,50000,,,50,150000,200,,,15,,250,150000,150000,200000,
"2023-02-24","2029-11-28","Scope 3","Scope 3 Use of Sold Products",20,150000,0,100000,10,50000,,100000,150,0,,,200000,150,,100000,,250000
"2023-02-24","2021-09-30","Scope 1","Commercial Building",0,200000,50000,150000,,,0,50000,50,,,30,,350,100000,200000,,
"2023-02-24","2026-09-14","Scope 3","Scope 3 Purchased Goods Services",10,250000,250000,0,20,100000,,0,100,150000,0,,150000,150,150000,250000,,
"2023-02-24","2038-11-11","Scope 1","Private Jet",0,200000,150000,200000,,250000,,100000,350,,150000,10,250000,200,100000,,,100000
"2023-02-24","2031-09-13","Scope 2","Commercial Building",15,150000,200000,150000,30,200000,,200000,50,100000,250000,15,0,200,200000,50000,,200000
"2023-02-24","2034-05-18","Scope 1","Data Center",30,150000,100000,,0,150000,,150000,300,50000,200000,20,100000,200,250000,0,,50000
"2023-02-24","2028-07-14","Scope 3","Scope 3 Upstream Transportation Distribution",,100000,,250000,40,0,,250000,150,250000,100000,25,,150,50000,150000,,150000
"2023-02-24","2038-10-17","Scope 2","Fleet Vehicles",20,50000,0,100000,10,0,,,250,150000,250000,30,150000,250,0,50000,,100000
"2023-02-24","2041-01-28","Scope 1","Private Jet",30,50000,50000,,20,250000,,50000,200,0,100000,0,100000,250,,100000,,0
"2023-02-24","2036-04-07","Scope 2","Fleet Vehicles",15,100000,,200000,40,200000,,50000,150,50000,200000,30,250000,200,200000,50000,,250000
"2023-02-24","2029-06-30","Scope 3","Scope 3 End-Life Treatment of Sold Product",20,150000,200000,150000,,100000,,100000,350,,,10,0,150,250000,150000,,200000
"2023-02-24","2021-03-24","Scope 3","Fleet Vehicles",,200000,100000,50000,,,30,250000,50,,,0,,200,50000,0,100000,
"2023-02-24","2027-01-16","Scope 2","Commercial Building",0,150000,50000,150000,50,150000,,0,200,200000,50000,,,150,150000,100000,,50000
"2023-02-24","2020-03-21","Scope 1","Data Center",10,250000,0,250000,,,90,200000,100,,,15,,150,0,,0,
"2023-02-24","2031-10-08","Scope 1","Commercial Building",0,100000,250000,0,30,,,,300,100000,150000,25,50000,150,,100000,,
"2023-02-24","2034-09-07","Scope 3","Scope 3 Processing Sold Products",,50000,150000,100000,0,50000,,150000,250,250000,0,20,200000,150,100000,250000,,150000
"2023-02-24","2024-07-19","Scope 2","Private Jet",30,150000,50000,200000,,100000,,,250,150000,50000,20,0,150,150000,200000,,0
"2023-02-24","2039-01-07","Scope 1","Fleet Vehicles",10,250000,100000,0,0,50000,,50000,150,250000,,30,200000,200,200000,50000,,200000
"2023-02-24","2033-10-19","Scope 2","Data Center",20,200000,250000,50000,40,,,200000,300,200000,100000,,150000,200,0,50000,,250000
"2023-02-24","2023-10-11","Scope 3","Scope 3 Fuel and Energy-Related Activity",15,100000,150000,,50,0,70,250000,200,50000,0,15,100000,350,50000,150000,150000,100000
"2023-02-24","2025-03-29","Scope 1","Private Jet",15,50000,0,250000,30,250000,,100000,50,100000,250000,0,250000,150,250000,250000,,50000
"2023-02-24","2030-06-17","Scope 3","Scope 3 Downstream Leased Assets",,150000,,150000,10,200000,,150000,350,0,200000,10,,150,100000,0,,
"2023-02-24","2035-09-28","Scope 2","Data Center",20,200000,200000,150000,20,150000,,0,100,,150000,25,50000,200,,200000,,150000
"2023-02-24","2037-08-01","Scope 2","Commercial Building",0,150000,50000,100000,40,250000,,250000,300,150000,250000,20,0,200,150000,0,,200000
"2023-02-24","2026-05-01","Scope 1","Fleet Vehicles",30,250000,150000,50000,30,200000,,150000,50,0,,15,250000,150,250000,100000,,250000
"2023-02-24","2040-08-25","Scope 3","Scope 3 Waste Generated in Operations",10,150000,200000,0,20,50000,,100000,350,100000,200000,10,50000,250,50000,,,50000
"2023-02-24","2022-03-14","Scope 1","Commercial Building",0,100000,250000,,,,,200000,250,,,25,,150,,100000,50000,
"2023-02-24","2032-09-01","Scope 2","Private Jet",15,250000,100000,250000,0,150000,,,150,,0,0,,150,0,100000,,0
"2023-02-24","2021-03-12","Scope 3","Scope 3 Capital Goods",,50000,0,100000,,,20,0,200,,,,,200,100000,50000,250000,
"2023-02-24","2032-03-11","Scope 2","Data Center",30,200000,,200000,50,100000,,50000,100,200000,50000,30,100000,200,200000,200000,,100000
"2023-02-24","2037-12-04","Scope 1","Fleet Vehicles",20,150000,0,0,10,0,,150000,350,250000,150000,15,150000,200,100000,100000,,150000
"2023-02-24","2039-03-04","Scope 3","Commercial Building",10,100000,,150000,,,,250000,50,50000,100000,30,200000,250,150000,0,,
"2023-02-24","2031-05-16","Scope 2","Private Jet",0,50000,200000,,,100000,,100000,100,0,0,20,,200,250000,250000,,50000
"2023-02-24","2033-04-05","Scope 1","Fleet Vehicles",30,200000,150000,50000,30,50000,,0,200,200000,,25,100000,150,50000,150000,,150000
"2023-02-24","2029-01-28","Scope 3","Data Center",,250000,50000,200000,20,250000,,200000,150,150000,200000,10,250000,150,,,,250000
"2023-02-24","2024-07-06","Scope 2","Data Center",20,200000,100000,100000,0,0,,50000,300,,50000,0,200000,150,0,150000,,100000
"2023-02-24","2022-06-09","Scope 3","Scope 3 Employee Commuting",10,250000,250000,250000,,,20,,250,,,,,300,200000,50000,100000,
"2023-02-24","2023-11-26","Scope 1","Commercial Building",15,50000,50000,,50,,70,0,300,50000,250000,0,150000,250,250000,200000,200000,200000
"2023-02-24","2027-12-25","Scope 1","Data Center",15,150000,150000,0,40,150000,,100000,250,100000,100000,20,0,150,,150000,,
"2023-02-24","2038-10-09","Scope 2","Private Jet",0,100000,200000,200000,10,200000,,150000,100,250000,150000,10,50000,200,100000,250000,,0
"2023-02-24","2030-01-17","Scope 3","Scope 3 Downstream Leased Assets",20,200000,100000,50000,40,100000,,250000,350,250000,250000,,,150,0,,,200000
"2023-02-24","2028-03-17","Scope 3","Scope 3 Use of Sold Products",30,150000,250000,100000,30,0,,50000,200,0,100000,15,200000,150,200000,100000,,150000
"2023-02-24","2034-11-12","Scope 2","Commercial Building",10,200000,,150000,10,250000,,200000,50,150000,50000,25,100000,200,50000,0,,0
"2023-02-24","2035-03-04","Scope 1","Fleet Vehicles",,100000,0,150000,20,,,,150,50000,150000,30,0,200,150000,100000,,50000
"2023-02-24","2025-01-26","Scope 2","Commercial Building",20,150000,0,150000,,50000,,50000,350,100000,200000,15,250000,150,50000,150000,,250000
"2023-02-24","2020-04-25","Scope 1","Fleet Vehicles",30,250000,150000,250000,,,,100000,300,,,30,,100,100000,,0,
"2023-02-24","2040-04-28","Scope 3","Scope 3 Upstream Leased Assets",15,50000,100000,150000,0,200000,,150000,150,200000,0,20,150000,200,150000,0,,100000
"2023-02-24","2036-08-10","Scope 2","Data Center",0,250000,50000,100000,50,150000,,,50,,,10,50000,200,200000,50000,,
"2023-02-24","2041-12-28","Scope 1","Private Jet",10,50000,250000,50000,30,50000,,0,100,150000,150000,25,150000,200,0,200000,,250000
"2023-02-24","2026-02-09","Scope 3","Scope 3 Franchising",,200000,200000,250000,,,,250000,200,,100000,,50000,150,,250000,,200000
"2023-02-24","2025-10-01","Scope 3","Scope 3 Processing Sold Products",20,100000,,200000,10,100000,,200000,250,100000,50000,0,250000,150,250000,150000,,0
"2023-02-24","2020-06-26","Scope 2","Data Center",,150000,,0,,,30,200000,200,,,,,100,150000,,250000,
"2023-02-24","2033-11-16","Scope 1","Private Jet",30,100000,250000,,0,200000,,,100,200000,200000,10,200000,200,,0,,150000
"2023-02-24","2035-04-08","Scope 3","Scope 3 Capital Goods",15,150000,50000,200000,50,0,,100000,50,0,0,25,100000,200,100000,100000,,50000
"2023-02-24","2027-11-10","Scope 2","Commercial Building",10,150000,200000,100000,40,250000,,150000,250,50000,,15,,200,200000,150000,,100000
