"Status","Variable","Opportunity","Weighted_Pipeline"
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1861
"Pre-Optimized","Executive Sponsorship","Goodman Imports - Set Series",1857
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1857
"Optimized","Prototype","Ohana Insurance - CX Enclosures",14561
"Pre-Optimized","Prototype","Aims Social Inc. - Smart Alarm",1856
"Pre-Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",1860
"Optimized","Expert Consultation","UlyssesNet - Smart Alarm 2",14563
"Pre-Optimized","Prototype","Amptech Corporation - EcosStruxure Monitoring",1858
"Max","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1858
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1856
"Optimized","Expert Consultation","Aims Social Inc. - Smart Alarm",14558
"Max","Prototype","Plasmosis Inc. - Value Reporting",
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1857
"Pre-Optimized","Prototype","Red Studio Designs - Sustainability advice",1863
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1859
"Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",14558
"Pre-Optimized","Expert Consultation","Plasmosis Inc. - Value Reporting",1862
"Max","Expert Consultation","Silodyne Company - SpaceLogic ASP",
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1859
"Pre-Optimized","Executive Sponsorship","Roseburg Products - Micro Pragma Enclosure",1860
"Max","Expert Consultation","Permadyne - Rack Power Distribution",
"Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",14561
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1860
"Pre-Optimized","Executive Sponsorship","Amptech Corporation - EcosStruxure Monitoring",1862
"Pre-Optimized","Executive Sponsorship","UlyssesNet - Smart Alarm 2",1855
"Pre-Optimized","Expert Consultation","Permadyne - Rack Power Distribution",1858
"Pre-Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",1860
"Optimized","Executive Sponsorship","Big Sky & Sons - Building Advisor",14560
"Pre-Optimized","Executive Sponsorship","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Pre-Optimized","Prototype","Associated Supply Co. - EcoStruxure PowerLogic",1860
"Max","Expert Consultation","Goodman Imports - Set Series",
"Pre-Optimized","Expert Consultation","Allied Technologies - Value Reporting",1862
"Optimized","Prototype","Aims Social Inc. - Smart Alarm",14560
"Max","Prototype","Roseburg Products - Micro Pragma Enclosure",
"Optimized","Expert Consultation","Biospan LLC. - Pact Series",14558
"Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",14562
"Max","Prototype","UlyssesNet - Smart Alarm 2",
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1858
"Pre-Optimized","Prototype","Allied Technologies - Value Reporting",1858
"Pre-Optimized","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",1861
"Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",14562
"Max","Expert Consultation","Anaco Limited - EcoStruxure 9-Series",
"Max","Prototype","Ohana Insurance - CX Enclosures",
"Pre-Optimized","Expert Consultation","Goodman Imports - Set Series",1856
"Pre-Optimized","Prototype","Silodyne Company - SpaceLogic ASP",1862
"Pre-Optimized","Executive Sponsorship","Biospan LLC. - Pact Series",1856
"Pre-Optimized","Expert Consultation","Amptech Corporation - EcosStruxure Monitoring",1860
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1862
"Optimized","Expert Consultation","Allied Technologies - Value Reporting",14557
"Optimized","Expert Consultation","AJC Corporation - EcoStruxure Grid",14560
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1855
"Max","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",
"Pre-Optimized","Prototype","Anaco Limited - EcoStruxure 9-Series",1863
"Optimized","Prototype","AJC Corporation - EcoStruxure Grid",14559
"Pre-Optimized","Executive Sponsorship","AJC Corporation - EcoStruxure Grid",1859
"Max","Prototype","Plasmosis Inc. - Value Reporting",
"Max","Expert Consultation","Associated Supply Co. - EcoStruxure PowerLogic",
"Pre-Optimized","Executive Sponsorship","Anaco Limited - EcoStruxure 9-Series",1860
"Pre-Optimized","Prototype","Biospan LLC. - Pact Series",1860
"Pre-Optimized","Expert Consultation","Red Studio Designs - Sustainability advice",1859
"Pre-Optimized","Expert Consultation","Towson Inc. - Pressure Sensors",1862
"Pre-Optimized","Expert Consultation","Biospan LLC. - Pact Series",1861
"Pre-Optimized","Expert Consultation","Roseburg Products - Micro Pragma Enclosure",1861
"Max","Executive Sponsorship","Biospan LLC. - Pact Series",
"Pre-Optimized","Prototype","AJC Corporation - EcoStruxure Grid",1858
"Pre-Optimized","Prototype","Plasmosis Inc. - Value Reporting",1860
"Pre-Optimized","Expert Consultation","Ohana Insurance - CX Enclosures",1858
"Pre-Optimized","Executive Sponsorship","Silodyne Company - SpaceLogic ASP",1861
"Pre-Optimized","Executive Sponsorship","Ohana Insurance - CX Enclosures",1860
"Optimized","Executive Sponsorship","Aims Social Inc. - Smart Alarm",14561
"Max","Prototype","Anaco Limited - EcoStruxure 9-Series",
